station,name,lat,lon,"last date",sum,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021
82015,ELDORADO,-36.3084,146.5229,03/02/2021,0,0,0,0,0,0,0,0
81016,ELMORE,-36.4956,144.6083,03/02/2021,0,0,0,0,0,0,0,0
86035,ELTHAM,-37.7004,145.1550,03/02/2021,1.2,0,0,1.2,0,0,0,0
84015,ENSAY,-37.3757,147.8373,03/02/2021,0,0,0,0,0,0,0,0
81083,"EPPALOCK RESERVOIR",-36.8465,144.5273,03/02/2021,0,0,0,0,0,0,0,0
85238,"ERICA (PARKERS CORNER)",-37.9532,146.3896,03/02/2021,10,0,0,8.4,0,0,0,1.6
86038,"ESSENDON AIRPORT",-37.7276,144.9066,03/02/2021,1.6,1.2,0,0.2,0.2,0,0,0
82016,EUROA,-36.7569,145.5660,03/02/2021,0,0,0,0,0,0,0,0
82149,"EUROA (CASTLE CK AT TELFORD BRIDGE)",-36.7858,145.5683,03/02/2021,0,0,0,0,0,0,0,0
83010,EUROBIN,-36.6344,146.8628,03/02/2021,0,0,0,0,0,0,0,0
83084,"FALLS CREEK",-36.8708,147.2755,03/02/2021,0.2,0,0.2,0,0,0,0,0
83043,"FALLS CREEK (ROCKY VALLEY)",-36.8756,147.2886,03/02/2021,0,0,0,0,0,0,0,0
86266,"FERNY CREEK",-37.8748,145.3497,03/02/2021,6.6,0,0,6.4,0,0,0.2,0
86388,"FRANKSTON (BALLAM PARK)",-38.1516,145.1615,03/02/2021,0,0,0,0,0,0,0,0
84016,"GABO ISLAND LIGHTHOUSE",-37.5679,149.9158,03/02/2021,2.8,0,2.6,0.2,0,0,0,0
84142,GELANTIPY,-37.2200,148.2626,03/02/2021,0,0,0,0,0,0,0,0
84122,"GENOA (FOOLS HAVEN)",-37.4772,149.6386,03/02/2021,0,0,0,0,0,0,0,0
85033,GIFFARD,-38.4228,147.0864,03/02/2021,4,0,0,4,0,0,0,0
88154,"GLENBURN (HIGHWOOD TBRG)",-37.3908,145.4768,03/02/2021,0.4,0,0.4,0,0,0,0,0
85034,"GLENMAGGIE WEIR",-37.9085,146.8046,03/02/2021,0,0,0,0,0,0,0,0
87162,"GNARWARRE (BARWON RIVER AT POLLOCKSFORD)",-38.1435,144.1872,03/02/2021,0.2,0,0,0.2,0,0,0,0
82145,"GOORAM (HILLSIDE)",-36.8753,145.5783,03/02/2021,0,0,0,0,0,0,0,0
82146,"GOORAM (MORELLA)",-36.9322,145.5842,03/02/2021,0,0,0,0,0,0,0,0
79017,"GOROKE (POST OFFICE)",-36.7181,141.4729,03/02/2021,0.2,0,0,0.2,0,0,0,0
88126,"GOULBURN RIVER @ SEYMOUR",-37.0213,145.1091,03/02/2021,0,0,0,0,0,0,0,0
79103,"GRAMPIANS (MOUNT WILLIAM)",-37.2950,142.6039,03/02/2021,2.6,0,0.2,2.4,0,0,0,0
79019,"GREAT WESTERN (SEPPELT)",-37.1847,142.8553,03/02/2021,0,0,0,0,0,0,0,0
86305,"GREENVALE RESERVOIR",-37.6369,144.9073,03/02/2021,0.6,0.2,0,0.4,0,0,0,0
82167,"GRETA WEST",-36.5344,146.2181,03/02/2021,0,0,0,0,0,0,0,0
90183,"HAINES JUNCTION (MOUNT SABINE)",-38.6286,143.7306,03/02/2021,11.2,0.8,0,5.8,0,0.2,0,4.4
83058,"HALLS (BUCKLAND RIVER AT TWELVE MILE)",-36.8547,146.8581,03/02/2021,0,0,0,0,0,0,0,0
90173,"HAMILTON AIRPORT",-37.6486,142.0636,03/02/2021,0.8,0,0,0.8,0,0,0,0
88029,HEATHCOTE,-36.9589,144.7010,03/02/2021,0,0,0,0,0,0,0,0
82155,"HOLLAND CK AT WRIGHTLEY",-36.8211,146.1278,03/02/2021,0,0,0,0,0,0,0,0
77010,"HOPETOUN AIRPORT",-35.7151,142.3569,03/02/2021,0,0,0,0,0,0,0,0
79100,"HORSHAM AERODROME",-36.6697,142.1731,03/02/2021,0,0,0,0,0,0,0,0
83094,"HOWITT PLAINS (HIGH RIDGE)",-37.2236,146.6021,03/02/2021,0,0,0,0,0,0,0,0
82139,"HUNTERS HILL",-36.2137,147.5395,03/02/2021,0,0,0,0,0,0,0,0
82172,"HUON (BARKLEYS CAMP)",-36.2491,147.0954,03/02/2021,0,0,0,0,0,0,0,0
82128,"HURDLE CK AT BOBINAWARRAH",-36.5131,146.4483,03/02/2021,0.2,0,0,0,0.2,0,0,0
82021,INDIGO,-36.0964,146.6008,03/02/2021,0,0,0,0,0,0,0,0
81020,"INGLEWOOD (POST OFFICE)",-36.5753,143.8695,03/02/2021,0,0,0,0,0,0,0,0
83091,"JAMIESON LICOLA RD",-37.3016,146.1489,03/02/2021,0,0,0,0,0,0,0,0
